time;sst
2012-05-06;25,035715103149414
2012-05-07;25,0142822265625
2012-05-08;25,271434783935547
2012-05-09;25,242860794067383
2012-05-10;25,150005340576172
2012-05-11;25,02142906188965
2012-05-12;24,914281845092773
2012-05-13;25,07143211364746
2012-05-14;25,035717010498047
2012-05-15;25,035717010498047
2012-05-16;25,035717010498047
2012-05-17;24,985713958740234
2012-05-18;24,900005340576172
2012-05-19;25,321426391601562
2012-05-20;24,892854690551758
2012-05-21;24,757143020629883
2012-05-22;24,464282989501953
2012-05-23;24,100000381469727
2012-05-24;23,88571548461914
2012-05-25;23,92142677307129
2012-05-26;23,928569793701172
2012-05-27;24,042856216430664
2012-05-28;24,0285701751709
2012-05-29;24,042858123779297
2012-05-30;24,45713996887207
2012-05-31;24,464282989501953
2012-06-01;24,45713996887207
2012-06-02;24,45713996887207
2012-06-03;23,77142906188965
2012-06-04;23,885711669921875
2012-06-05;24,214292526245117
2012-06-06;24,214292526245117
2012-06-07;24,214292526245117
2012-06-08;24,214292526245117
2012-06-09;24,207149505615234
2012-06-10;24,20000648498535
2012-06-11;23,70000648498535
2012-06-12;23,6928653717041
2012-06-13;23,328571319580078
2012-06-14;23,735713958740234
2012-06-15;23,742856979370117
2012-06-16;23,721431732177734
2012-06-17;23,82856559753418
2012-06-18;24,064289093017578
2012-06-19;23,935714721679688
2012-06-20;23,935714721679688
2012-06-21;23,935714721679688
2012-06-22;23,942855834960938
2012-06-23;23,935712814331055
2012-06-24;23,65714454650879
2012-06-25;23,578577041625977
2012-06-26;23,721433639526367
2012-06-27;23,735715866088867
2012-06-28;23,614288330078125
2012-06-29;23,364286422729492
2012-06-30;23,464282989501953
2012-07-01;23,549997329711914
2012-07-02;23,549999237060547
2012-07-03;23,421428680419922
2012-07-04;23,528573989868164
2012-07-05;23,157148361206055
2012-07-06;23,32142448425293
2012-07-07;23,557146072387695
2012-07-08;23,792856216430664
2012-07-09;23,607149124145508
2012-07-10;23,485713958740234
2012-07-11;23,47857093811035
2012-07-12;23,47857093811035
2012-07-13;23,47857093811035
2012-07-14;23,35000228881836
2012-07-15;23,285715103149414
2012-07-16;23,242856979370117
2012-07-17;22,978574752807617
2012-07-18;22,978574752807617
2012-07-19;22,94285774230957
2012-07-20;22,678571701049805
2012-07-21;22,96428871154785
2012-07-22;23,4571475982666
2012-07-23;23,957141876220703
2012-07-24;23,949996948242188
2012-07-25;23,935712814331055
2012-07-26;23,821426391601562
2012-07-27;23,821426391601562
2012-07-28;23,414287567138672
2012-07-29;23,399999618530273
2012-07-30;23,142854690551758
2012-07-31;23,14999771118164
2012-08-01;23,15713882446289
2012-08-02;23,114290237426758
2012-08-03;22,757144927978516
2012-08-04;22,700000762939453
2012-08-05;22,621429443359375
2012-08-06;22,614288330078125
2012-08-07;23,057144165039062
2012-08-08;22,878564834594727
2012-08-09;22,985713958740234
2012-08-10;22,885711669921875
2012-08-11;22,935714721679688
2012-08-12;22,94285774230957
2012-08-13;22,992860794067383
2012-08-14;22,914281845092773
2012-08-15;22,535717010498047
2012-08-16;22,614288330078125
2012-08-17;22,507144927978516
2012-08-18;22,557144165039062
2012-08-19;22,557144165039062
2012-08-20;22,214290618896484
2012-08-21;22,142864227294922
2012-08-22;22,421422958374023
2012-08-23;22,471424102783203
2012-08-24;22,4714298248291
2012-08-25;22,55000114440918
2012-08-26;22,735713958740234
2012-08-27;22,62858009338379
2012-08-28;22,414281845092773
2012-08-29;22,414281845092773
2012-08-30;22,414281845092773
